10 Rules for Sleeping Around,20180802,1,,
12 Dates of Christmas,20180502,1,,
12 Dog Days Till Christmas ,20180215,1,,
13 Assassins,20180805,1,,
13 Going on 30 ,20180901,,,
30 Days of Night ,20180401,2,,
3000 Miles to Graceland,20180801,1,,
50 First Dates,20180601,1,,
8 Mile,20180601,1,,
88 Minutes ,20180401,2,,
A Christmas Kiss II ,20180215,1,,
A Cinderella Story,20180730,1,,
A Gang Story ,20180301,1,,
A Little Bit of Heaven,20180211,1,,
A Royal Night Out ,20180901,,,
A Star Is Born (1976),20180915,,,
Ace Ventura: Pet Detective,20180401,2,,
Ace Ventura: When Nature Calls ,20180401,2,,
Adventures in Babysitting ,20180801,1,,
Alice Through the Looking Glass,20180711,1,,
Alive ,20180701,1,,
All I Want for Christmas,20171201,1,,
Along Came Polly ,20180701,1,,
Alpha & Omega: Journey to Bear Kingdom,20180708,1,,
Alpha and Omega,20180626,1,,
America’s Funniest Home Video Kids: Holidazed,20171215,2,,
America’s Funniest Home Videos Kids: Animals With Attitude,20171215,2,,
America’s Funniest Home Videos Kids: It’s Tough Being a Kid,20171215,2,,
America’s Funniest Home Videos Kids: Playtime Ain’t for Wimps,20171215,2,,
America’s Funniest Home Videos: Nincompoop Nation,20171215,2,,
American Genius ,20180228,2,,
American Pie ,20180401,2,,
American Pie 2 ,20180401,2,,
Amores perros,20171224,1,,
An Honest Liar ,20180701,1,,
An Idiot Abroad: Seasons 1-3,20180219,2,,
Anastasia,20180301,1,,
Anthony Bourdain: Parts Unknown: Seasons 1-8,20180616,2,,
Apollo 13,20180401,2,,
Archer: Seasons 1–7,20180314,2,,
Are You Here,20180916,,,
Awake: Season 1,20180301,2,,
Aziz Ansari: Dangerously Delicious,20180220,1,,
Baby Daddy: Seasons 1-6,20180621,2,,
Baby’s Day Out,20180301,1,,
Back to the Secret Garden,20171101,1,,
Backstreet Boys: Show ‘Em What You’re Made Of,20180616,1,,
Batman (1989),20180401,2,,
Batman & Robin,20180401,2,,
Batman Begins,20180901,,,
Batman Forever ,20180401,2,,
Batman Returns,20180401,2,,
Beauty & the Briefcase ,20180502,1,,
Bedazzled,20171201,1,,
Beerfest ,20180701,1,,
Before I Go to Sleep ,20180215,1,,
Before Midnight,20180701,1,,
Before the Devil Knows You’re Dead,20180915,,,
Begin Again,20180427,2,,
Being Flynn,20180816,1,,
Believe ,20180311,1,,
Black Books: Series 1-3,20171101,2,,
Black Snake Moan,20171201,1,,
Bonnie & Clyde (2013),20180610,1,,
Bordertown,20180915,,,
Bordertown: Season 1,20180301,2,,
Brain Games: Seasons 3-4,20180228,2,,
Breakfast at Tiffany’s,20180702,1,,
Breakout Kings: Season 1,20180313,2,,
Breakout Kings: Season 2,20180301,2,,
Brickleberry: Seasons 1–3,20180301,2,,
Bridget Jones’s Diary,20180501,1,,
Bring It On ,20180701,1,,
Bring It On Again ,20180701,1,,
Bring It On: All or Nothing ,20180701,1,,
Bring It On: Fight to the Finish ,20180701,1,,
Bring It On: In It to Win It,20180701,1,,
Brubaker,20180201,1,,
Burn Notice: Seasons 1-7,20180215,2,,
Caddyshack,20180401,2,,
Cadet Kelly ,20180502,1,,
Cake,20180620,1,,
Camp Rock ,20180502,1,,
Camp Rock 2: The Final Jam,20180502,1,,
Can’t Buy Me Love ,20180801,1,,
Captain America: Civil War,20180625,1,,
Care Bears: Welcome to Care-a-Lot: Season 1,20180801,2,,
Casino,20180901,,,
Casper ,20180501,1,,
Cedar Cove: Seasons 1-3,20180618,2,,
